Payment_Name,Payment_Status__c,SM_Check_Collection_Date__c,SM_Check_Collection__c,SM_Check_Collection_Status__c,Section,Drawee_Name,Check_Number,Reference_Number,Amount,Reason
PY-01900438,ACCEPTED,2026-09-14,TRUE,COLLECTED,COLLECTED,PY-01900438,00002988164,0000023405082,99.00,NSF
PY-01900439,ACCEPTED,2026-09-14,TRUE,COLLECTED,COLLECTED,PY-01900439,00002988165,0000023477903,99.00,NSF
PY-01901108,ACCEPTED,2026-09-15,TRUE,COLLECTED,COLLECTED,PY-01901108,00003012560,0000170475263,99.00,NSF
PY-01901116,REJECTED,2026-09-15,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01901116,00003012568,0000000031502,139.00,R10 CUST ADV NOT
PY-01901123,ACCEPTED,2026-09-15,TRUE,COLLECTED,COLLECTED,PY-01901123,00003012575,0000173513646,99.00,NSF
PY-01902575,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902575,00003078069,0000045214611,49.00,NSF
PY-01902578,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01902578,00003078072,0000151577300,49.00,R08 STOP PAYMENT
PY-01902579,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01902579,00003078073,0004000129595,79.00,NSF
PY-01902582,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902582,00003078076,0000341238636,79.00,NSF
PY-01902590,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902590,00003078201,0000249100048,89.00,NSF
PY-01902594,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902594,00003078088,0000040360083,49.00,NSF
PY-01902604,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01902604,00003078098,0002509008590,79.00,NSF
PY-01902615,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902615,00003078109,0000047434562,69.00,NSF
PY-01902629,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902629,00003078123,0000321485692,99.00,NSF
PY-01902648,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902648,00003078142,0000025278975,99.00,NSF
PY-01902655,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01902655,00003078148,0003107677347,99.00,NSF
PY-01902659,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902659,00003078152,0000318878540,99.00,NSF
PY-01902663,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01902663,00003078156,0000402116627,139.00,NSF
PY-01902664,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902664,00003078157,0000311250801,99.00,NSF
PY-01902673,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902673,00003078166,0000318604159,99.00,NSF
PY-01902678,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902678,00003078171,0000084354208,139.00,NSF
PY-01902698,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01902698,00003078190,0004200179368,139.00,NSF
PY-01902700,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902700,00003078192,0000059466316,99.00,NSF
PY-01902701,ACCEPTED,2026-09-16,TRUE,COLLECTED,COLLECTED,PY-01902701,00003078193,0000223147752,139.00,NSF
PY-01902703,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01902703,00003078195,0006800085710,99.00,NSF
PY-01903604,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01903604,00003136367,0000270002677,75.00,NSF
PY-01903608,ACCEPTED,2026-09-17,TRUE,COLLECTED,COLLECTED,PY-01903608,00003136371,0000050474766,79.00,NSF
PY-01903611,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01903611,00003136374,0000000127282,75.00,NSF
PY-01903612,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01903612,00003136375,0000121508366,79.00,R08 STOP PAYMENT
PY-01903617,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01903617,00003136380,0001053666021,99.00,NSF
PY-01903624,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01903624,00003136387,0000047661836,79.00,NSF
PY-01903629,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01903629,00003136392,0000032421230,99.00,NSF
PY-01903633,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01903633,00003136396,0000059991334,75.00,R04 INVALID ACCOU
PY-01903634,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01903634,00003136397,0000052991334,75.00,NSF
PY-01904139,REJECTED,2026-09-18,TRUE,PENDING,PENDING,PY-01904139,00003206827,0000308214562,79.00,NSF
PY-01904145,REJECTED,2026-09-18,TRUE,PENDING,PENDING,PY-01904145,00003206833,0000204045265,139.00,NSF
PY-01904147,REJECTED,2026-09-18,TRUE,PENDING,PENDING,PY-01904147,00003206835,0000212319864,99.00,R08 STOP PAYMENT
PY-01904149,REJECTED,2026-09-18,TRUE,PENDING,PENDING,PY-01904149,00003206837,0000078651654,99.00,NSF
PY-01904150,REJECTED,2026-09-18,TRUE,PENDING,PENDING,PY-01904150,00003206838,0000255558293,99.00,NSF
PY-01904151,REJECTED,2026-09-18,TRUE,PENDING,PENDING,PY-01904151,00003206839,0000419827646,99.00,NSF
PY-01904153,REJECTED,2026-09-18,TRUE,PENDING,PENDING,PY-01904153,00003206841,0000700699334,99.00,NSF
PY-01904155,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01904155,00003206843,0000000033847,139.00,R03 NO ACCOUNT
PY-01904871,REJECTED,2026-09-18,TRUE,PENDING,PENDING,PY-01904871,00003259051,0000000042419,99.00,NSF
